Rhea americana;ema
Porphyrio flavirostris;frango-d'água-pequeno
Fulica armillata;carqueja-de-bico-manchado
Fulica rufifrons;carqueja-de-escudo-vermelho
Fulica leucoptera;carqueja-de-bico-amarelo
Heliornis fulica;picaparra
Eurypyga helias;pavãozinho-do-pará
Cariama cristata;seriema
Jacana jacana;jaçanã
Nycticryphes semicollaris;narceja-de-bico-torto
Haematopus palliatus;piru-piru
Himantopus mexicanus;pernilongo-de-costas-negras
Himantopus melanurus;pernilongo-de-costas-brancas
Burhinus bistriatus;téu-téu-da-savana
Glareola pratincola;perdiz-do-mar
Vanellus cayanus;batuíra-de-esporão
Vanellus chilensis;quero-quero
Pluvialis dominica;batuiruçu
Pluvialis squatarola;batuiruçu-de-axila-preta
Charadrius semipalmatus;batuíra-de-bando
Charadrius melodus;batuíra-melodiosa
Charadrius wilsonia;batuíra-bicuda
Charadrius collaris;batuíra-de-coleira
Charadrius falklandicus;batuíra-de-coleira-dupla
Charadrius modestus;batuíra-de-peito-tijolo
Oreopholus ruficollis;batuíra-de-papo-ferrugíneo
Gallinago paraguaiae;narceja
Gallinago undulata;narcejão
Limnodromus griseus;maçarico-de-costas-brancas
Limosa haemastica;maçarico-de-bico-virado
Numenius borealis;maçarico-esquimó
Numenius phaeopus;maçarico-galego
Bartramia longicauda;maçarico-do-campo
Tringa melanoleuca;maçarico-grande-de-perna-amarela
Tringa flavipes;maçarico-de-perna-amarela
Tringa solitaria;maçarico-solitário
Catoptrophorus semipalmatus;maçarico-de-asa-branca
Actitis macularius;maçarico-pintado
Arenaria interpres;vira-pedras
Calidris canutus;maçarico-de-papo-vermelho
Calidris alba;maçarico-branco
Calidris pusilla;maçarico-rasteirinho
Calidris minutilla;maçariquinho
Calidris fuscicollis;maçarico-de-sobre-branco
Calidris bairdii;maçarico-de-bico-fino
Calidris melanotos;maçarico-de-colete
Calidris himantopus;maçarico-pernilongo
Tryngites subruficollis;maçarico-acanelado
Phalaropus tricolor;pisa-n'água
Phalaropus fulicarius;falaropo-de-bico-grosso
Chionis albus;pomba-antártica
Stercorarius skua;mandrião-grande
Stercorarius chilensis;mandrião-chileno
Stercorarius maccormicki;mandrião-do-sul
Stercorarius antarcticus;mandrião-antártico
Stercorarius pomarinus;mandrião-pomarino
Stercorarius parasiticus;mandrião-parasítico
Stercorarius longicaudus;mandrião-de-cauda-comprida
Larus atlanticus;gaivota-de-rabo-preto
Larus delawarensis;gaivota-de-bico-manchado
Larus dominicanus;gaivotão
Larus atricilla;gaivota-alegre
Larus pipixcan;gaivota-de-franklin
Chroicocephalus cirrocephalus;gaivota-de-cabeça-cinza
Chroicocephalus maculipennis;gaivota-maria-velha
Anous stolidus;trinta-réis-escuro
Anous minutus;trinta-réis-preto
Gygis alba;grazina
Onychoprion fuscatus;trinta-réis-das-rocas
Sternula antillarum;trinta-réis-miúdo
Sternula superciliaris;trinta-réis-anão
Chlidonias niger;trinta-réis-negro
Phaetusa simplex;trinta-réis-grande
Gelochelidon nilotica;trinta-réis-de-bico-preto
Sterna dougallii;trinta-réis-róseo
Sterna hirundinacea;trinta-réis-de-bico-vermelho
Sterna hirundo;trinta-réis-boreal
Sterna vittata;trinta-réis-antártico
Sterna paradisaea;trinta-réis-ártico
